Temperature (°C),Humidity (%),Soil Moisture (%),Light Intensity,Pressure (hPa),Predicted Crop
42.1659419,76.95018354,40.09898082,1,1043.481258,Tobacco
22.46350915,50.30396266,24.57386376,1,1032.266822,Millets
18.44019425,34.46358447,0.095065613,1,1015.744346,Potato
39.40965009,73.10014654,42.77020326,1,984.8171316,Chili
23.92300347,51.78145239,8.774581456,0,965.093739,Millets
17.12826951,98.79512662,57.74196327,0,1027.552581,Cotton
38.73473049,55.26578154,38.1601257,1,999.6084067,Cabbage
32.16868244,45.93182662,81.21019864,1,1028.570729,Cabbage
32.7642456,54.0970179,32.46928204,0,1004.204673,Peas
16.31875401,85.78580782,25.92275608,0,993.0366008,Tobacco
35.78762362,47.6272605,84.47765738,0,1020.007373,Groundnut
17.60578692,41.83595541,45.58509923,1,976.1175993,Onion
42.51016377,48.08739671,14.10412897,0,1029.626764,Rice
35.68768455,41.87914777,13.72783242,1,1010.21572,Wheat
15.33803618,86.67942377,88.18312175,1,1019.328284,Maize
36.55773365,99.98705769,0.928064473,0,998.015146,Wheat
31.3320146,96.50208871,14.19312444,1,1039.786672,Mustard
37.96723089,90.34807336,63.88208213,0,1036.16752,Cabbage
31.19809804,53.78985676,61.45763071,0,958.2106387,Mustard
26.50270169,52.84459948,16.07519421,0,984.7159574,Brinjal
33.79341756,75.73668735,7.022921414,1,1017.139791,Barley
27.43605047,82.80638237,19.44164709,0,966.2158226,Cabbage
43.60547259,33.75110554,58.76040314,0,960.6977156,Chili
44.65343723,34.99933755,56.63151277,1,1003.558639,Groundnut
42.29974384,81.21782046,54.89893764,0,1009.694733,Barley
19.69192431,61.37158355,58.60236387,0,996.3076875,Pulses
25.8006757,74.02213402,53.93559498,1,953.7861917,Cotton
20.81500511,81.95649232,2.39296279,0,1034.281101,Tobacco
43.90370467,94.19849591,77.03344973,0,998.1260593,Millets
25.34978242,46.5572352,80.34860803,0,964.4649854,Cotton
26.95548504,99.31327097,5.685003137,1,985.7274276,Mustard
20.19731605,60.1485999,68.82494337,0,960.5507596,Pulses
28.69219161,79.23046328,95.82457388,0,970.2551155,Pulses
17.74450135,79.88386183,93.38884465,0,971.7391084,Cotton
28.98266449,66.28745103,71.17209425,0,1038.933932,Cotton
28.63439943,63.35535482,6.816277202,0,1018.051306,Mustard
30.15977056,60.6987524,31.14684458,0,982.4277337,Millets
28.4387946,48.60989107,40.96245479,1,951.3554644,Cauliflower
33.57160823,74.44977456,58.81838101,1,1037.619893,Brinjal
42.97174948,60.07533837,3.098609643,1,974.3875743,Wheat
30.40048699,70.4852155,30.34224359,1,988.6355128,Chili
36.51695048,52.19777209,44.37321377,1,993.4178657,Chili
29.84961159,77.44557827,35.86322124,0,1010.139263,Chili
33.37500279,39.22144473,95.4650462,1,1006.162307,Chili
16.80274832,71.99889731,88.80213648,0,1049.177032,Maize
17.52824866,43.39682222,34.6519719,0,1004.612862,Mustard
24.93790251,95.70828615,96.56883502,0,1046.912059,Cotton
34.17003478,91.19932759,86.23217228,1,1039.010325,Mustard
27.50085816,80.16384705,5.297441084,0,970.7087815,Barley
15.16106047,46.60307674,36.62443554,0,970.0657893,Brinjal
36.37394332,38.32514453,56.58163189,1,975.0229401,Sorghum
34.08822291,81.46088807,51.95071525,0,1043.952809,Brinjal
33.0801625,57.52516477,70.15751873,0,969.1271337,Cauliflower
36.94428634,45.37697609,70.10123726,0,1003.451156,Tobacco
28.33718691,36.93742487,55.08624047,0,966.5590457,Maize
41.5129351,92.53903482,97.37513819,1,1046.957138,Peas
22.10463502,43.57365052,78.68287832,1,1035.681799,Cotton
33.96456361,92.20121236,41.08607223,1,996.452132,Peas
17.9629594,70.82018947,80.17366323,0,1001.893381,Cotton
30.08528114,32.28770031,82.26518921,0,1020.532786,Onion
39.73404593,93.74681192,77.28247985,0,965.0641937,Mustard
38.84075995,99.52528603,42.83075844,0,1008.922722,Sorghum
33.56753456,90.09290985,67.20427071,1,1009.932075,Mustard
18.92551971,98.04745927,44.95868913,0,957.6226349,Tobacco
43.06489934,66.75251326,50.36246094,0,974.3798485,Brinjal
39.45314299,54.78415987,94.69969311,0,967.7479852,Brinjal
32.10336202,53.54353732,31.23335954,0,994.6593979,Cabbage
23.90155644,59.19847191,60.60472143,1,987.6574772,Pulses
25.91778015,70.77398718,71.223241,0,955.4866838,Pulses
31.05940007,72.7753254,26.68989024,1,1025.390173,Chili
44.78611903,66.63075381,72.88670315,0,1012.26934,Groundnut
31.83767971,44.56020292,69.40159109,1,1008.06859,Barley
39.49450277,53.88203514,58.01353787,0,985.386042,Potato
16.75928201,90.48619567,81.01283877,0,996.405402,Cotton
33.65998384,98.72524937,77.0996989,1,1032.299393,Mustard
18.1090473,70.39660019,68.20352267,0,957.9873451,Pulses
41.46669579,43.10352356,14.84534007,1,964.1382412,Wheat
16.49729469,92.08929386,19.71335726,1,1045.814179,Cabbage
39.33409666,70.2250537,2.720049253,1,981.2692129,Rice
27.48649755,46.82233238,35.62002409,0,1011.098542,Sorghum
30.92842246,63.14554473,42.39667298,0,1015.633839,Tobacco
27.65817911,74.71784148,56.49615055,0,1030.803353,Pulses
25.89083561,43.28739474,63.85024727,1,1049.16108,Pulses
43.14183566,68.91233332,31.74156511,1,1011.633479,Brinjal
40.35214055,68.68636127,66.98208072,1,1028.778324,Cauliflower
35.74037833,52.52215385,87.61486311,1,1020.259918,Cauliflower
27.19205715,93.47671619,15.8573272,0,1000.459029,Sorghum
20.49251815,92.42783295,32.55733886,1,1042.638446,Cabbage
25.1165966,90.72593174,28.80976037,0,977.9908281,Potato
15.17190756,65.97296727,19.88064667,0,985.0952852,Millets
29.81637994,91.41317254,7.532572895,1,960.8386112,Tobacco
19.58387393,59.83390693,39.97211917,1,996.8928198,Tobacco
37.21956686,84.96560572,22.25804479,1,977.0964814,Rice
25.5239925,66.09211828,45.54858945,0,987.7165523,Onion
25.04319074,73.54186385,71.50599626,0,996.2609409,Maize
19.22910277,39.99880074,82.16530654,1,992.9587273,Cotton
44.55131589,74.56571329,78.6285395,1,1009.618812,Tomato
15.10262948,38.38908121,29.62561704,1,981.7397134,Brinjal
26.36226606,35.6748598,40.38431186,0,972.4505844,Potato
42.47925714,61.09360572,82.22700059,1,977.0099356,Groundnut
24.5797996,73.56568155,78.56265411,0,1028.424368,Maize
34.7502703,94.87904118,2.333025878,0,1009.748583,Peas
40.96742972,63.37486379,70.55958576,1,997.7519203,Cabbage
40.45192877,34.0468872,72.18326684,1,1019.45499,Potato
16.04325342,83.92067224,11.25817774,0,1045.685531,Onion
25.903384,43.11585201,87.19302953,0,999.4456466,Maize
36.77672831,45.48013938,52.67100582,0,959.8504619,Sorghum
41.02324098,39.07562057,74.57315295,1,1024.703472,Sorghum
37.79793848,50.71719841,68.00121164,1,995.2363178,Peas
15.16502399,85.09876956,68.10109401,1,983.3634536,Maize
40.90233391,44.68311281,0.566729176,1,995.362144,Rice
29.24059966,81.2979347,40.39550937,1,1016.860629,Cabbage
26.37256276,91.30557828,17.04731564,1,1044.202741,Peas
36.53224056,85.98489678,32.44652979,0,989.8704401,Chili
31.98749758,77.49843473,93.54361748,1,992.2409724,Onion
25.74677132,60.00471467,25.72064033,1,968.4500225,Cauliflower
21.2555939,85.9260361,32.64680306,1,1014.969181,Potato
34.83563299,68.05061742,13.93255805,0,966.4812178,Millets
18.17602295,39.85504722,67.87374059,0,1039.578828,Maize
26.35360425,98.61242477,53.65553197,1,1011.694499,Pulses
36.06594447,80.43124995,99.78612887,0,1048.277709,Groundnut
43.53377022,78.35632996,94.17732159,0,990.5520437,Groundnut
33.96318445,77.16055039,47.29558278,0,1029.41793,Onion
44.05445166,47.16989209,92.29768322,1,1025.376487,Tomato
39.15423131,99.89018245,42.34225573,0,1002.29191,Tomato
30.52995694,77.64472712,32.17975653,0,989.6720978,Cabbage
19.80872001,70.71769788,33.01990997,1,990.9746455,Tobacco
24.83451441,38.68608134,72.92316271,0,1012.625099,Pulses
34.48920302,62.74256878,90.95825305,1,1037.307097,Tobacco
34.97905891,68.13986632,78.76416915,1,961.514653,Chili
33.49833255,32.42614661,97.72114331,1,1038.262389,Potato
44.35223739,84.03777878,74.64468465,1,1010.949899,Tomato
15.65067007,65.97622407,68.92661856,1,993.5733527,Cotton
28.49139663,40.66524716,27.35769775,0,1027.154205,Onion
36.71894726,79.45126275,25.42502277,0,971.4556168,Wheat
22.16933112,69.61454685,63.351806,1,1008.08446,Maize
15.05147628,77.63936459,78.80876423,0,1019.86611,Pulses
28.04524347,34.32088275,50.85433901,0,1049.441047,Pulses
16.48292376,63.92945941,97.25316388,1,1000.909389,Pulses
20.67799103,79.09218812,96.06595631,1,997.4763924,Pulses
37.26148592,71.99340123,47.9339915,1,1004.026841,Barley
21.76247891,82.46323805,85.44816575,0,1004.380572,Cotton
19.95626207,33.45036112,33.57234687,0,1007.78101,Peas
39.13141073,56.41107609,13.52246083,1,980.1377948,Wheat
24.74469223,77.79075688,90.06483084,0,980.1360494,Maize
28.47991873,46.39701491,32.40284771,1,980.6547943,Millets
22.64604101,78.75563023,97.22991074,0,1046.309558,Cotton
33.3098535,33.35559989,39.64787979,0,1009.552066,Tobacco
20.54839409,71.77654092,43.0406108,0,963.4811488,Tobacco
18.52321365,34.06389447,80.67061122,1,958.9931506,Pulses
35.73404702,32.36603678,35.19898966,0,1000.624541,Onion
28.80121497,34.71582956,57.44568995,1,1041.237082,Pulses
20.39277012,72.15255155,84.2492767,0,994.1447895,Maize
35.30334947,66.44263433,44.53079413,0,1032.394228,Chili
17.38204881,38.85618724,47.23377028,0,1040.533372,Chili
25.14564502,31.90464896,33.67134363,0,986.6652619,Chili
18.78510798,39.00840368,41.93415775,1,1027.562834,Barley
29.25375745,76.99689857,35.16416387,0,1036.295668,Barley
24.47026045,60.67281219,2.027432236,1,993.5113626,Barley
33.52477236,43.92582916,0.207217749,1,983.5141833,Barley
28.29952195,48.29268798,87.10271597,0,956.5888582,Pulses
36.02460123,74.88335652,23.24996444,1,985.3200906,Wheat
40.32533523,93.38149144,57.58820685,0,1018.198662,Tobacco
43.40538016,49.87292407,9.319619211,1,1033.567079,Rice
36.62606964,60.77212008,28.5135063,1,979.6528489,Rice
20.10555254,59.55708449,34.14297272,0,971.1613073,Groundnut
33.70794867,38.23040188,75.53378478,0,972.8861066,Groundnut
23.45772421,80.69945364,21.23074833,0,1030.191815,Tobacco
26.50510757,77.87640193,74.27343693,1,1017.468963,Cotton
37.30415473,70.65966562,4.773553381,1,989.274817,Rice
42.1174477,81.6563337,48.05698341,1,1041.956984,Chili
26.85730709,71.68119758,12.18655094,1,1039.305971,Groundnut
20.31781092,90.08411825,97.39154128,0,1040.624804,Pulses
39.24621176,36.60437163,91.03101786,0,994.905519,Tobacco
22.21178285,94.2551863,29.15603078,1,1044.195983,Chili
22.43129267,61.99781582,6.012901529,0,1033.732496,Chili
20.42447165,35.69396481,37.50104525,0,1017.764987,Tomato
39.40303458,79.44267095,93.03525943,1,1021.297198,Tomato
24.60149303,73.52294014,83.69511817,0,971.2630056,Maize
28.03003823,73.18254637,94.60940941,1,957.1157569,Pulses
37.11866308,90.5831793,10.3402705,0,1024.974714,Rice
18.16640022,57.62808105,41.90248683,1,1012.703235,Potato
33.35578161,83.63210011,40.01910458,1,950.7407271,Millets
24.17209223,67.01045978,24.44173903,0,963.8273868,Millets
26.96124334,72.54362765,70.85131368,0,1032.085805,Cotton
16.03087245,47.09354959,92.0475614,1,1037.86868,Maize
29.26899842,34.70566687,88.07572219,0,986.3372861,Cotton
28.64499674,31.99772212,26.21841966,1,1025.024433,Brinjal
20.82653046,91.58585051,21.2837087,0,985.7279743,Chili
38.76426502,83.35750612,42.61954402,1,1027.565848,Mustard
30.30653275,30.07489535,29.26813515,0,985.0705919,Mustard
36.82779138,36.86664581,61.39863497,0,981.6842922,Chili
33.59281749,85.19483728,99.48019589,0,963.1861284,Cauliflower
17.75974993,57.71766365,37.70661098,0,1021.86005,Chili
41.6808354,81.57157807,57.35312089,0,984.9700467,Peas
16.45345255,35.44068376,26.29248808,1,998.2797027,Barley
37.22147801,98.53923863,98.00027785,0,1039.360663,Tobacco
23.22750549,71.18657505,22.17778985,0,971.5172719,Cabbage
31.32757984,71.96722413,47.6997749,1,1002.435883,Barley
25.68253617,43.57954527,13.27432288,0,970.9461158,Peas
37.45437621,84.48599232,2.724197924,1,970.8441727,Sugarcane
23.99866552,51.48841137,70.05841689,1,978.867063,Pulses
42.46242075,94.17425355,53.21863192,1,968.261329,Barley
40.43131746,98.89823635,41.74670172,1,1025.928317,Brinjal
22.75547106,41.52990825,40.98993424,0,1042.789289,Millets
29.71917577,52.91595172,35.50492661,0,981.104589,Cabbage
16.71372982,69.31114582,58.55603713,0,962.0469909,Cotton
26.48434584,77.30383801,66.53323238,0,1022.032273,Cotton
24.95863055,56.67818066,82.24540599,1,984.5344896,Cotton
25.32889183,65.04189395,46.12928233,1,993.5083995,Groundnut
18.81635778,85.91988918,27.38679597,0,970.0501414,Potato
34.28985708,93.92303726,21.46700988,1,963.6723164,Tomato
16.27431744,62.01729547,6.514173574,1,964.7705116,Onion
42.50051758,63.39334092,93.99161427,1,992.1352349,Tobacco
27.11777212,56.69991512,68.31363932,0,1032.20776,Cotton
18.47728719,71.62897363,93.27998853,1,965.0413503,Maize
37.9393349,88.63630309,54.88005304,1,1037.314099,Tomato
19.97585616,43.9647642,64.46295454,0,1047.735151,Maize
42.11237259,57.13508245,5.348788437,0,1032.718432,Rice
15.67609558,53.95266428,33.9773274,0,963.3198898,Groundnut
31.473371,90.65574659,90.30915325,1,1040.101751,Tobacco
23.00985376,62.77903063,98.95287396,1,1038.407803,Cotton
39.47501416,65.76955115,83.92439789,0,978.1537068,Groundnut
38.11267079,33.82771954,40.46512338,0,951.8605461,Brinjal
43.40757407,95.56242836,0.601051038,1,1039.997427,Rice
35.34104688,40.50927942,83.63827666,1,990.2706482,Sorghum
18.13594035,47.20535122,16.0506277,0,1022.31287,Tomato
38.40629621,87.67331413,12.32962438,0,1040.072346,Wheat
27.10506763,99.25329599,89.26087496,0,957.1953184,Maize
21.73515923,41.26581555,76.25832171,0,1009.265146,Maize
32.1036665,59.21805579,69.86305174,0,968.9510086,Brinjal
18.7659225,76.74091421,3.004913177,1,998.2341357,Onion
25.17127019,84.27095643,80.72633766,1,956.8910119,Pulses
39.88683345,47.49632126,5.351106378,0,1012.085297,Wheat
35.89671117,37.0445608,56.23542593,0,991.1717612,Potato
41.52616128,91.10016579,11.94789036,1,999.1465746,Rice
31.64635477,41.76188734,21.13627582,1,1038.794679,Barley
20.9897424,63.70543292,7.183585425,1,969.8906836,Chili
44.53578609,46.66821708,68.40707269,0,963.392301,Cauliflower
15.05146732,36.58261336,31.0301526,0,962.2878582,Cabbage
27.40313034,30.81289629,7.76713698,0,1036.181775,Barley
43.07940189,65.41772033,51.04517225,0,968.922685,Tobacco
26.45256339,93.812337,78.22568831,1,958.6635354,Maize
20.11082392,58.66637469,63.15834012,1,978.0151495,Pulses
21.90594431,81.38998889,78.04574626,1,1031.821646,Pulses
24.94019405,34.81796527,72.39851606,0,1022.354741,Maize
25.41554647,38.28918672,73.06682117,0,1032.402408,Pulses
34.22573722,90.24872455,16.65834528,0,1016.433657,Brinjal
37.08873596,61.38392506,77.60922731,0,954.3571261,Groundnut
22.18412961,33.81249002,24.57629236,1,975.7241742,Onion
31.00214379,96.28286847,14.66458715,0,1015.284302,Cauliflower
36.67546907,32.72883432,31.96177259,0,958.3188836,Sorghum
28.80529684,93.60944617,0.722253608,0,1026.929689,Millets
15.99267471,72.68896568,88.0627091,1,962.0145774,Cotton
40.69509485,97.40432124,53.91761283,0,962.428372,Onion
35.44349801,44.81536033,61.64129833,0,974.7523809,Barley
40.71358559,85.35313752,65.59070086,0,987.0765355,Cauliflower
25.26064235,69.35343793,32.63627334,1,1008.075101,Groundnut
23.78110939,72.6427846,0.112051287,0,1002.822901,Tobacco
38.38558487,73.53527884,63.50260097,0,1049.526342,Cabbage
21.49687423,63.35881468,14.97734523,0,1003.914776,Tobacco
19.77399317,95.26756852,47.83690544,0,1025.667707,Brinjal
42.67674888,82.79377322,42.26008084,1,1022.609755,Cabbage
19.83896346,49.93616148,81.42576145,0,1049.621837,Cotton
25.39946683,61.02193906,10.86043914,0,1047.407673,Mustard
36.9828056,38.50706188,1.198148519,1,1002.921306,Sugarcane
28.0331297,79.00302086,55.2817872,1,1048.724252,Pulses
44.68505736,48.70966592,31.84464193,1,1036.160182,Cauliflower
37.52773603,35.47205473,27.68384904,0,969.0196382,Sugarcane
42.04522808,41.6582991,9.026096275,0,1047.084362,Wheat
16.66584359,86.29627694,36.09513409,0,1016.74291,Onion
17.90060417,87.02437688,98.43123572,1,978.2086169,Maize
32.36179085,84.64182785,68.00230609,0,1004.557556,Millets
17.81985836,89.61396965,16.35931276,0,1024.333156,Cabbage
37.45487773,63.96057762,93.01081596,0,1002.344611,Chili
30.9836405,84.93157854,40.83797541,1,1008.041033,Groundnut
26.00380341,50.61628356,25.23115343,1,1032.784856,Onion
26.58481917,49.30823587,71.81131155,1,1044.398304,Maize
37.78392102,83.65333196,37.68600941,1,1001.174418,Millets
23.97022829,66.02220409,25.30737454,0,959.7640943,Cabbage
41.93257702,51.80157092,3.078074052,0,954.7938264,Rice
33.45152433,92.03962239,9.572420123,1,1048.501771,Groundnut
29.31612145,50.07807539,54.76675508,0,999.1790649,Maize
34.973651,79.2733804,28.60893112,0,954.9540459,Barley
24.02663227,98.02886446,64.51902259,0,954.7977496,Maize
18.3666138,56.96057637,85.12481309,1,976.9621663,Pulses
32.36819353,43.312926,26.20158496,1,1017.880571,Potato
36.69876383,36.99738546,42.86180586,1,997.3199902,Mustard
35.53597573,62.6386364,76.53533359,0,959.9126617,Brinjal
44.13018444,94.31886901,6.10081405,1,1005.59815,Rice
43.99569982,73.34992147,22.67604387,1,991.5959412,Sugarcane
29.51306198,32.16758868,8.240819271,1,1027.784303,Chili
15.28735458,38.91461394,68.69300597,1,1014.338118,Pulses
29.44682612,98.13464,55.74347347,1,965.4465187,Cotton
44.22562609,60.68181279,55.40326764,1,1007.576429,Brinjal
28.28729291,54.34045679,36.71744498,1,1033.212467,Sorghum
31.4768813,73.92721807,89.65921259,1,1009.153708,Chili
20.83273506,94.60184483,19.05117563,0,1035.907016,Brinjal
20.74617742,44.51123256,11.55412194,1,964.9592152,Onion
33.00069457,83.8479435,99.23152472,0,1036.487589,Tomato
35.82062472,63.45733451,49.31142876,1,1037.667177,Cabbage
23.57904777,74.27042237,70.4657787,0,987.118152,Pulses
41.45385107,63.51293229,74.35491308,0,997.8396256,Tobacco
18.59342012,45.89240633,50.82182315,0,1008.099338,Cotton
28.89052814,53.54694881,54.60575619,0,1007.698182,Maize
31.81293941,71.26869451,25.41290494,1,1030.724375,Sorghum
32.02833335,87.95348238,96.04163662,1,1031.145739,Onion
42.53033609,57.70817548,25.17895036,1,1044.557118,Wheat
23.33776873,39.80315882,51.35730282,0,964.6799952,Cotton
25.68566223,86.03037769,32.68716089,1,960.5798087,Peas
27.20748304,41.59070107,76.73073504,1,1040.231781,Cotton
35.16688138,83.89489086,60.95272974,1,1013.991946,Groundnut
30.31498342,46.06235423,67.24500575,1,953.2655747,Millets
30.20124424,81.060235,87.50398384,1,960.3629087,Brinjal
35.22255934,57.63134678,39.75212141,0,952.3499605,Onion
33.34510179,35.0207433,84.5136943,1,950.5402263,Millets
27.23518448,57.61112401,74.83659197,0,1018.816525,Cotton
29.08342062,62.4791076,36.91787589,1,1010.540113,Mustard
42.74159335,47.46100011,53.57052837,0,1033.985106,Tobacco
43.35629053,55.86219955,60.00470924,1,1040.590177,Mustard
18.83832024,88.89520267,94.06046912,0,1001.843284,Pulses
31.72551714,42.38795317,25.1379485,0,1048.241829,Tomato
31.14275491,91.91410961,50.15719455,0,981.087185,Mustard
29.22241942,95.87118823,65.9437605,1,980.263801,Maize
19.61542678,45.55528078,41.26952287,1,1045.528248,Brinjal
18.80732096,89.15503397,20.78825425,1,994.9722432,Chili
44.6374465,54.97943143,27.89778461,1,1014.092679,Sugarcane
25.71646032,59.56910604,80.97849241,0,985.4125511,Maize
39.0769793,81.68781494,50.44740914,0,966.3330202,Sorghum
43.07511462,49.35617658,94.62208204,1,992.5469897,Millets
34.34284244,64.59081833,71.15431709,0,1023.609029,Tomato
17.61623699,67.66683743,3.34608421,1,1049.859887,Mustard
37.32051922,85.37673547,4.87119675,1,994.8746182,Sugarcane
22.64502103,30.84866885,81.47635166,1,958.3232115,Cotton
29.3804557,41.9882727,30.65857361,0,1032.966085,Sorghum
17.99706685,92.09646444,64.38670313,0,965.5960532,Cotton
33.79332609,33.3455992,95.80628833,0,1014.650931,Mustard
18.3537497,54.36694297,93.14133654,1,1048.686416,Cotton
27.83219382,98.42246269,51.78335448,0,980.421311,Pulses
29.85407794,35.60613935,28.0881842,1,1040.213652,Cauliflower
28.33477118,97.44953722,69.6673494,0,973.0878615,Cotton
44.00504841,63.01945757,68.69855501,1,1037.707263,Tobacco
21.63209319,99.99871688,32.44913442,0,1004.336514,Brinjal
44.53027637,37.19751233,99.62744288,0,1040.789484,Chili
36.4323307,39.29686788,99.87988707,1,981.6411468,Millets
29.14111547,94.88829615,1.797792887,1,1003.354483,Millets
20.85420903,41.33906876,98.603274,0,962.2917305,Maize
29.5926748,51.99605747,73.28446273,0,977.801375,Cotton
40.48483344,88.88075414,53.59976868,1,1047.655437,Onion
39.40340895,61.93364003,40.1351591,0,1018.063233,Sorghum
44.77009156,68.29474777,48.00487179,0,1031.58523,Sorghum
22.95962122,46.98774158,11.7920469,1,1043.801601,Potato
30.91987525,93.56179981,43.22552186,1,1015.974367,Sorghum
20.77499106,93.05132128,50.92595897,1,1027.77472,Maize
41.88849724,59.13666869,97.66104743,1,1034.061046,Mustard
33.28879154,77.8747806,42.47428768,0,979.6686845,Millets
34.09862289,83.45326187,92.08771161,0,987.7943187,Cabbage
44.00564811,57.31516837,83.49811184,1,1044.70137,Millets
21.79032948,82.0626123,54.86234935,1,957.018326,Pulses
19.78914909,66.99774669,6.855120308,1,970.7372779,Mustard
15.91508855,72.42336684,84.15879171,1,983.0834206,Pulses
24.4271349,63.42651226,3.039481549,1,1023.988642,Sorghum
44.43432465,42.69031864,62.01877805,0,1010.064216,Tomato
25.87816241,38.51120597,37.26371081,1,1016.552278,Peas
39.98987908,53.3961114,27.38428323,1,1033.865382,Wheat
44.49092262,64.42240483,46.3518694,0,1040.748189,Millets
31.62623987,53.62085675,11.40240211,1,983.3789396,Barley
15.57100798,35.63491175,57.93209127,1,1047.384953,Cotton
20.67824745,82.03895008,88.46105334,0,969.2341226,Pulses
16.90680119,43.19999419,75.43203752,1,1024.621197,Cotton
38.78791505,45.26576977,77.66126729,0,1027.409233,Sorghum
27.44393169,52.12839674,61.79572947,0,975.5565691,Maize
23.21582343,54.15313663,68.98678682,1,998.5089722,Maize
18.10194583,82.54859792,61.63344343,1,963.3561741,Maize
25.45631318,34.89013357,44.115612,1,1008.812467,Cabbage
18.66178334,99.48431138,5.25216361,1,973.248389,Mustard
